"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"HEI.A","Heico Corporation","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hei.a",
"HSII","Heidrick & Struggles International, Inc.","27.5","$526.12M","1999","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/hsii",
"HELE","Helen of Troy Limited","155.55","$3.91B","n/a","Consumer Durables","Home Furnishings","https://old.nasdaq.com/symbol/hele",
"HLIO","Helios Technologies, Inc.","43.11","$1.38B","n/a","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/hlio",
"HSDT","Helius Medical Technologies, Inc.","1.71","$43.6M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/hsdt",
"HLX","Helix Energy Solutions Group, Inc.","8.28","$1.23B","n/a","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/hlx",
"HP","Helmerich & Payne, Inc.","43.24","$4.73B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/hp",
"HMTV","Hemisphere Media Group, Inc.","12.06","$476.03M","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/hmtv",
"AIM","Hemispherx BioPharma, Inc.","1.85","$4.52M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/aim",
"HNNA","Hennessy Advisors, Inc.","10.15","$76.12M","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/hnna",
"HCAC","Hennessy Capital Acquisition Corp. IV","10.15","$380.82M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/hcac",
"HCACU","Hennessy Capital Acquisition Corp. IV","10.55","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/hcacu",
"HCACW","Hennessy Capital Acquisition Corp. IV","0.7664","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/hcacw",
"HSIC","Henry Schein, Inc.","62.85","$9.32B","1995","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/hsic",
"HEPA","Hepion Pharmaceuticals, Inc.","2.73","$9.43M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/hepa",
"HLF","Herbalife Nutrition Ltd.","40.21","$6.08B","2004","Health Care","Other Pharmaceuticals","https://old.nasdaq.com/symbol/hlf",
"HRI","Herc Holdings Inc.","49.02","$1.41B","2016","n/a","n/a","https://old.nasdaq.com/symbol/hri",
"HCXY","Hercules Capital, Inc.","26.25","n/a","2018","n/a","n/a","https://old.nasdaq.com/symbol/hcxy",
"HCXZ","Hercules Capital, Inc.","25.3489","n/a","2018","n/a","n/a","https://old.nasdaq.com/symbol/hcxz",
"HTGC","Hercules Capital, Inc.","13.3","$1.39B","2012","n/a","n/a","https://old.nasdaq.com/symbol/htgc",
"HTBK","Heritage Commerce Corp","12.1","$526.33M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/htbk",
